#SEED  PKGS  REQS  VERSpPKG  DEPSpVER  TIME
11     2138  119   32.7423   1.34569   49.34424710273743
12     2138  111   32.6964   1.33297   72.0799949169159
22     2138  98    32.7891   1.33832   43.28856611251831
38     2138  118   32.66     1.31485   45.42829990386963
42     2138  103   32.8204   1.31441   69.05260801315308
49     2138  110   33.0318   1.33501   47.2462260723114
57     2138  119   32.6394   1.32879   46.95002198219299
63     2138  113   32.7301   1.32899   49.11480212211609
69     2138  87    32.6543   1.3032    45.33827495574951
72     2138  89    32.7409   1.31506   49.927366971969604
73     2138  116   32.6543   1.33153   42.7632839679718
93     2138  118   32.6487   1.31438   44.11354899406433
