#SEED  PKGS  REQS  VERSpPKG  DEPSpVER  TIME
1      2138  103   16.666    0.842529  10.917551040649414
2      2138  114   16.7479   0.858659  9.735228061676025
5      2138  115   16.5688   0.828873  9.44577693939209
7      2138  101   16.7348   0.854915  10.639204025268555
10     2138  107   16.7002   0.842627  9.753054141998291
12     2138  111   16.6848   0.871103  10.266568183898926
13     2138  100   16.6833   0.883036  10.28954815864563
14     2138  109   16.7839   0.816826  10.626749992370605
17     2138  109   16.6356   0.848764  10.694952011108398
18     2138  87    16.6745   0.849593  9.454361915588379
21     2138  112   16.6609   0.837877  9.904746055603027
22     2138  107   16.7339   0.870699  10.284435987472534
24     2138  97    16.6735   0.855644  10.741828918457031
27     2138  114   16.6146   0.863606  18.434834003448486
29     2138  97    16.6038   0.864278  9.375445127487183
33     2138  102   16.7259   0.888507  10.14319896697998
34     2138  115   16.7797   0.847582  10.467808961868286
35     2138  100   16.6239   0.840892  10.047502994537354
37     2138  106   16.7035   0.867412  10.250536918640137
39     2138  102   16.6099   0.859174  10.173334121704102
40     2138  92    16.6899   0.869406  10.187263011932373
42     2138  105   16.7643   0.86234   9.8591148853302
43     2138  100   16.739    0.854672  10.22816014289856
45     2138  93    16.6628   0.875144  9.850001096725464
49     2138  97    16.8494   0.878609  12.719805002212524
50     2138  117   16.5795   0.841848  9.39069390296936
51     2138  125   16.6057   0.884489  10.04068112373352
55     2138  126   16.7554   0.875443  10.11141300201416
56     2138  91    16.6866   0.866493  9.7671799659729
58     2138  101   16.6366   0.876915  10.827964067459106
61     2138  90    16.6904   0.834968  10.083298921585083
65     2138  125   16.6815   0.882322  10.539317846298218
68     2138  103   16.8078   0.866342  9.610856056213379
69     2138  124   16.7016   0.855999  18.246697902679443
70     2138  100   16.7166   0.857331  10.420634031295776
73     2138  106   16.7194   0.871202  10.326901197433472
75     2138  110   16.6305   0.870683  9.893108129501343
77     2138  114   16.7212   0.833119  9.972275018692017
78     2138  101   16.6791   0.856197  9.588677167892456
79     2138  122   16.688    0.88419   10.11742115020752
80     2138  102   16.5472   0.845921  9.994946956634521
81     2138  86    16.6805   0.856967  9.63277792930603
86     2138  115   16.804    0.855179  10.64749002456665
88     2138  117   16.4827   0.860755  14.992702007293701
89     2138  116   16.7802   0.882707  10.440916061401367
90     2138  108   16.6618   0.871768  10.136816024780273
91     2138  103   16.6015   0.846735  15.405797958374023
93     2138  102   16.6913   0.850894  9.686247825622559
95     2138  90    16.7755   0.890509  12.012662172317505
96     2138  114   16.7877   0.849883  9.715155124664307
99     2138  106   16.6539   0.850587  9.944092988967896
